name,AAV,PTS,I_F_xGoals,Age,Predicted_AAV,Difference
Sam Carrick,1000000.0,20,10.43,32.0,2046283.7943475526,1046283.7943475526
Pavel Buchnevich,8000000.0,57,21.31,29.0,5868385.214069874,-2131614.785930126
Casey Cizikas,2500000.0,17,11.71,33.0,2364837.54505184,-135162.45494815987
Anthony Richard,775000.0,6,1.81,28.0,863064.210333278,88064.21033327805
Vincent Trocheck,5625000.0,59,29.11,31.0,6250211.201244597,625211.2012445973
Artturi Lehkonen,4500000.0,45,27.54,29.0,4829502.0096422015,329502.0096422015
Yakov Trenin,3500000.0,15,11.56,28.0,2619725.5682171937,-880274.4317828063
Zach Bogosian,1250000.0,16,2.46,34.0,2722874.5863362676,1472874.5863362676
Sam Steel,2100000.0,25,8.6,26.0,2046562.877882672,-53437.12211732799
Ryan McLeod,5000000.0,53,16.71,25.0,4904884.471177358,-95115.52882264182
Andrei Kuzmenko,4300000.0,17,11.4,28.0,4031133.581388712,-268866.41861128807
Matt Duchene,4500000.0,82,21.23,34.0,6549121.908736317,2049121.9087363174
Brendan Smith,1000000.0,6,1.81,35.0,1022730.2389525851,22730.238952585147
Cody Ceci,4500000.0,9,3.5,31.0,3287748.2007654067,-1212251.7992345933
Nolan Allan,825000.0,8,1.04,21.0,984464.0244531973,159464.02445319726
Vladislav Gavrikov,7000000.0,30,5.98,29.0,6716035.8638024535,-283964.1361975465
Nathan MacKinnon,12600000.0,116,29.52,29.0,12091655.071085539,-508344.9289144613
Elias Pettersson,11600000.0,45,13.01,26.0,7025235.121438336,-4574764.878561664
Pontus Holmberg,1550000.0,19,10.36,25.0,1584776.75354536,34776.75354535994
